    Finished `test` profile [unoptimized + debuginfo] target(s) in 0.18s
     Running unittests src\lib.rs (C:\Users\bajra\.codex-target\nbsr-p1f\debug\deps\nbsr_transport-e554f6a20969ada2.exe)
P1F_SOAK elapsed_ms=307000 attempts=10780746 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=308000 attempts=10815839 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=309000 attempts=10850943 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=310000 attempts=10886622 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=311000 attempts=10922347 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=312000 attempts=10957484 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=313000 attempts=10992561 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=314000 attempts=11027630 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=315000 attempts=11062621 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=316000 attempts=11097765 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=317000 attempts=11134067 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=318000 attempts=11169685 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=319000 attempts=11205131 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=320000 attempts=11240094 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=321000 attempts=11275755 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=322000 attempts=11311254 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=323000 attempts=11346758 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=324000 attempts=11382173 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=325000 attempts=11417317 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=326000 attempts=11453055 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=327000 attempts=11488925 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=328000 attempts=11524592 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=329000 attempts=11559997 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=330000 attempts=11595859 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=331000 attempts=11630975 entries=10000 capacity=14336
P1F_SOAK elapsed_ms=332000 attempts=11666525 entries=10000 capacity=14336
